 ---------------------------------------------------------------------------------------------------------------------------------- 
|                                          Memory leak report for:  01/24/2024 23:16:41                                            |
 ---------------------------------------------------------------------------------------------------------------------------------- 


282 memory leaks found:

Alloc.   Addr       Size       Addr       Size                        BreakOn BreakOn              
Number Reported   Reported    Actual     Actual     Unused    Method  Dealloc Realloc Allocated by 
------ ---------- ---------- ---------- ---------- ---------- -------- ------- ------- --------------------------------------------------- 
000265 0x11E165E8 0x00000008 0x11E165D8 0x00000028 0x00000000 new         N       N    ??(00000)::??
000337 0x11C56630 0x00000030 0x11C56620 0x00000050 0x00000004 new         N       N    ??(00000)::??
000334 0x11E16640 0x00000008 0x11E16630 0x00000028 0x00000000 new         N       N    ??(00000)::??
000336 0x11E16698 0x00000008 0x11E16688 0x00000028 0x00000000 new         N       N    ??(00000)::??
000266 0x11C566B0 0x00000030 0x11C566A0 0x00000050 0x00000004 new         N       N    ??(00000)::??
000405 0x11E166F0 0x00000008 0x11E166E0 0x00000028 0x00000000 new         N       N    ??(00000)::??
000457 0x11C56730 0x00000030 0x11C56720 0x00000050 0x0000000C new         N       N    ??(00000)::??
000328 0x11E16748 0x00000008 0x11E16738 0x00000028 0x00000000 new         N       N    ??(00000)::??
000330 0x11E167A0 0x00000008 0x11E16790 0x00000028 0x00000000 new         N       N    ??(00000)::??
000129 0x11C567B0 0x00000030 0x11C567A0 0x00000050 0x00000000 new         N       N    ??(00000)::??
000403 0x11E167F8 0x00000008 0x11E167E8 0x00000028 0x00000000 new         N       N    ??(00000)::??
000314 0x11C56830 0x00000030 0x11C56820 0x00000050 0x0000000C new         N       N    ??(00000)::??
000544 0x11E16850 0x00000008 0x11E16840 0x00000028 0x00000000 new         N       N    ??(00000)::??
000546 0x11E168A8 0x00000008 0x11E16898 0x00000028 0x00000000 new         N       N    ??(00000)::??
000495 0x11E16900 0x00000008 0x11E168F0 0x00000028 0x00000000 new         N       N    ??(00000)::??
000547 0x11E16958 0x00000008 0x11E16948 0x00000028 0x00000000 new         N       N    ??(00000)::??
000548 0x11E169B0 0x00000008 0x11E169A0 0x00000028 0x00000000 new         N       N    ??(00000)::??
000481 0x11E16A08 0x00000008 0x11E169F8 0x00000028 0x00000000 new         N       N    ??(00000)::??
000409 0x11E16A60 0x00000008 0x11E16A50 0x00000028 0x00000000 new         N       N    ??(00000)::??
000542 0x11E16B10 0x00000008 0x11E16B00 0x00000028 0x00000000 new         N       N    ??(00000)::??
000477 0x11E16B68 0x00000008 0x11E16B58 0x00000028 0x00000000 new         N       N    ??(00000)::??
000543 0x11E16C18 0x00000008 0x11E16C08 0x00000028 0x00000000 new         N       N    ??(00000)::??
000479 0x11E16C70 0x00000008 0x11E16C60 0x00000028 0x00000000 new         N       N    ??(00000)::??
000217 0x1CC66C98 0x00035FD0 0x1CC66C88 0x00035FF0 0x00000000 new[]       N       N    ??(00000)::??
000478 0x11E16CC8 0x00000008 0x11E16CB8 0x00000028 0x00000000 new         N       N    ??(00000)::??
000145 0x11E16D28 0x00000330 0x11E16D18 0x00000350 0x00000000 new[]       N       N    ??(00000)::??
000331 0x1D846E80 0x00000154 0x1D846E70 0x00000174 0x00000018 new         N       N    ??(00000)::??
000422 0x220B7050 0x000CC660 0x220B7040 0x000CC680 0x00000000 new[]       N       N    ??(00000)::??
000356 0x1CDE7058 0x0006B940 0x1CDE7048 0x0006B960 0x00000000 new[]       N       N    ??(00000)::??
000154 0x1BFB7050 0x0012CCA1 0x1BFB7040 0x0012CCC1 0x00000000 new[]       N       N    ??(00000)::??
000146 0x11E57170 0x00000CC0 0x11E57160 0x00000CE0 0x00000BB8 new[]       N       N    ??(00000)::??
000171 0x11E174F0 0x00000050 0x11E174E0 0x00000070 0x0000000C new         N       N    ??(00000)::??
000196 0x11E17598 0x000000D4 0x11E17588 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000725 0x1D067668 0x00038215 0x1D067658 0x00038235 0x00000000 new[]       N       N    ??(00000)::??
000545 0x11E176B8 0x00000154 0x11E176A8 0x00000174 0x00000018 new         N       N    ??(00000)::??
000553 0x11E17858 0x000000D4 0x11E17848 0x000000F4 0x00000000 new         N       N    ??(00000)::??
000502 0x1CB87EB0 0x00001068 0x1CB87EA0 0x00001088 0x00000000 new[]       N       N    ??(00000)::??
000710 0x1F048050 0x000FAEC0 0x1F048040 0x000FAEE0 0x00000000 new[]       N       N    ??(00000)::??
000147 0x11E58130 0x000004D0 0x11E58120 0x000004F0 0x00000220 new[]       N       N    ??(00000)::??
000654 0x1CA281A8 0x0007D0AB 0x1CA28198 0x0007D0CB 0x00000000 new[]       N       N    ??(00000)::??
000715 0x238A8D28 0x00075F30 0x238A8D18 0x00075F50 0x00000000 new[]       N       N    ??(00000)::??
000643 0x1CB88F68 0x00002538 0x1CB88F58 0x00002558 0x00000000 new[]       N       N    ??(00000)::??
000503 0x1D049420 0x000041A0 0x1D049410 0x000041C0 0x00003C30 new[]       N       N    ??(00000)::??
000255 0x10A396F0 0x00000064 0x10A396E0 0x00000084 0x00000000 new         N       N    ??(00000)::??
000683 0x10A39850 0x00000064 0x10A39840 0x00000084 0x00000000 new         N       N    ??(00000)::??
000583 0x23849948 0x00002EEE 0x23849938 0x00002F0E 0x00000000 new[]       N       N    ??(00000)::??
000112 0x10A39B10 0x00000064 0x10A39B00 0x00000084 0x00000000 new         N       N    ??(00000)::??
000326 0x10A39BC0 0x00000064 0x10A39BB0 0x00000084 0x00000000 new         N       N    ??(00000)::??
000397 0x10A39C70 0x00000064 0x10A39C60 0x00000084 0x00000000 new         N       N    ??(00000)::??
000469 0x10A39E80 0x00000064 0x10A39E70 0x00000084 0x00000000 new         N       N    ??(00000)::??
000629 0x231A9FA8 0x00000030 0x231A9F98 0x00000050 0x00000000 new         N       N    ??(00000)::??
000540 0x10A39FE0 0x00000064 0x10A39FD0 0x00000084 0x00000000 new         N       N    ??(00000)::??
000530 0x1F57A050 0x00185945 0x1F57A040 0x00185965 0x00000000 new[]       N       N    ??(00000)::??
000511 0x1EEBA050 0x0017F4D5 0x1EEBA040 0x0017F4F5 0x00000000 new[]       N       N    ??(00000)::??
000431 0x23AEA050 0x00149E88 0x23AEA040 0x00149EA8 0x00088440 new[]       N       N    ??(00000)::??
000290 0x1ECCA050 0x000FCCF8 0x1ECCA040 0x000FCD18 0x000705C0 new[]       N       N    ??(00000)::??
000644 0x1CBAA088 0x00005658 0x1CBAA078 0x00005678 0x00000000 new[]       N       N    ??(00000)::??
